iter	Passed	Remaining
478	629	684
479	630	682
480	631	680
481	632	679
482	633	678
483	634	676
484	635	674
485	636	673
486	637	671
487	638	669
488	639	667
489	639	666
490	641	664
491	642	663
492	643	661
493	644	660
494	645	658
495	646	656
496	647	654
497	648	653
498	648	651
499	649	649
500	650	648
501	651	646
502	652	645
503	653	643
504	655	642
505	656	640
506	657	639
507	658	638
508	659	636
509	660	634
510	661	633
511	662	631
512	663	630
513	664	628
514	665	626
515	666	625
516	667	623
517	668	622
518	669	620
519	671	619
520	672	618
521	673	616
522	674	614
523	675	613
524	676	611
525	677	610
526	678	608
527	679	607
528	681	606
529	682	605
530	684	604
531	687	604
532	688	603
533	689	601
534	690	600
535	691	598
536	692	597
537	693	595
538	694	593
539	695	592
540	695	590
541	696	588
542	697	586
543	699	586
544	700	584
545	701	583
546	702	581
547	703	580
548	704	578
549	705	577
550	706	575
551	707	573
552	708	572
553	709	570
554	709	569
555	710	567
556	711	566
557	713	565
558	714	563
559	715	562
560	716	560
561	717	559
562	718	557
563	719	556
564	720	554
565	721	553
566	722	551
567	723	549
568	724	548
569	725	546
570	725	545
571	726	543
572	728	543
573	729	541
574	731	540
575	731	538
576	732	537
577	733	535
578	734	534
579	735	532
580	736	531
581	738	530
582	739	528
583	740	527
584	742	526
585	743	525
586	744	524
587	745	522
588	747	521
589	748	519
590	749	518
591	750	517
592	751	515
593	752	514
594	752	512
595	753	511
596	754	509
597	755	508
598	756	506
599	757	505
600	759	504
601	760	502
602	761	501
603	762	499
604	763	498
605	764	497
606	766	495
607	766	494
608	767	493
609	768	491
610	769	490
611	770	488
612	771	487
613	773	485
614	774	484
615	775	483
616	776	481
617	777	480
618	777	478
619	778	477
620	779	476
621	780	474
622	781	473
623	782	471
624	783	470
625	784	468
626	785	467
627	786	465
628	787	464
629	788	463
630	789	461
631	790	460
632	791	458
633	792	457
634	793	456
635	794	454
636	795	453
637	796	451
638	797	450
639	798	448
640	799	447
641	800	446
642	801	444
643	802	443
644	803	442
645	804	440
646	805	439
647	806	438
648	807	436
649	809	435
650	810	434
651	811	432
652	812	431
653	813	430
654	814	428
655	815	427
656	816	426
657	818	425
658	819	423
659	820	422
660	821	421
661	822	420
662	823	418
663	824	417
664	825	415
665	826	414
666	828	413
667	829	412
668	830	410
669	831	409
670	832	408
671	833	406
672	834	405
673	835	404
674	836	402
675	837	401
676	838	400
677	839	398
678	840	397
679	841	396
680	843	395
681	844	393
682	845	392
683	846	391
684	847	389
685	848	388
686	848	386
687	849	385
688	850	384
689	851	382
690	852	381
691	853	380
692	855	378
693	856	377
694	857	376
695	859	375
696	860	373
697	861	372
698	862	371
699	863	370
700	864	368
701	865	367
702	867	366
703	868	365
704	869	363
705	870	362
706	871	361
707	872	359
708	873	358
709	874	357
710	875	355
711	876	354
712	877	353
713	878	351
714	879	350
715	880	349
716	881	347
717	882	346
718	882	345
719	883	343
720	884	342
721	886	341
722	887	339
723	888	338
724	889	337
725	890	335
726	891	334
727	893	333
728	894	332
729	895	331
730	896	329
731	897	328
732	898	327
733	898	325
734	900	324
735	901	323
736	902	321
737	903	320
738	904	319
739	905	318
740	906	316
741	906	315
742	907	314
743	908	312
744	909	311
745	910	310
746	911	308
747	912	307
748	913	306
749	914	304
750	915	303
751	916	302
752	917	300
753	918	299
754	918	298
755	919	296
756	920	295
757	921	294
758	922	292
759	923	291
760	924	290
761	925	288
762	926	287
763	926	286
764	938	288
765	940	287
766	943	286
767	945	285
768	946	284
769	947	283
770	948	281
771	952	281
772	953	280
773	955	278
774	956	277
775	957	276
776	958	275
777	959	273
778	961	272
779	962	271
780	963	270
781	965	269
782	966	267
783	967	266
784	969	265
785	971	264
786	972	263
787	973	261
788	974	260
789	976	259
790	978	258
791	980	257
792	981	256
793	982	254
794	984	253
795	985	252
796	986	251
797	987	249
798	989	248
799	990	247
800	992	246
801	994	245
802	996	244
803	997	243
804	1000	242
805	1001	241
806	1003	239
807	1005	239
808	1007	237
809	1008	236
810	1009	235
811	1010	233
812	1011	232
813	1012	231
814	1014	230
815	1015	229
816	1016	227
817	1018	226
818	1019	225
819	1020	224
820	1022	222
821	1024	221
822	1025	220
823	1026	219
824	1027	218
825	1028	216
826	1030	215
827	1031	214
828	1032	213
829	1033	211
830	1035	210
831	1036	209
832	1037	208
833	1038	206
834	1040	205
835	1041	204
836	1042	203
837	1043	201
838	1044	200
839	1046	199
840	1047	198
841	1048	196
842	1050	195
843	1051	194
844	1052	193
845	1053	191
846	1054	190
847	1055	189
848	1056	187
849	1057	186
850	1058	185
851	1059	184
852	1060	182
853	1062	181
854	1063	180
855	1065	179
856	1066	177
857	1067	176
858	1068	175
859	1069	174
860	1071	172
861	1072	171
862	1073	170
863	1074	169
864	1077	168
865	1078	166
866	1079	165
867	1080	164
868	1082	163
869	1083	161
870	1084	160
871	1086	159
872	1087	158
873	1088	156
874	1089	155
875	1091	154
876	1092	153
877	1093	151
878	1094	150
879	1095	149
880	1096	148
881	1098	146
882	1099	145
883	1102	144
884	1103	143
885	1105	142
886	1107	141
887	1108	139
888	1109	138
889	1110	137
890	1111	135
891	1112	134
892	1114	133
893	1115	132
894	1116	130
895	1117	129
896	1118	128
897	1119	127
898	1120	125
899	1122	124
900	1123	123
901	1124	122
902	1124	120
903	1125	119
904	1126	118
905	1127	116
906	1128	115
907	1129	114
908	1130	113
909	1131	111
910	1132	110
911	1134	109
912	1135	108
913	1136	106
914	1137	105
915	1138	104
916	1139	103
917	1141	101
918	1142	100
919	1143	99
920	1144	98
921	1145	96
922	1146	95
923	1147	94
924	1149	93
925	1150	91
926	1151	90
927	1152	89
928	1153	88
929	1154	86
930	1155	85
931	1156	84
932	1157	83
933	1159	81
934	1160	80
935	1161	79
936	1162	78
937	1163	76
938	1164	75
939	1165	74
940	1166	73
941	1168	71
942	1169	70
943	1170	69
944	1171	68
945	1172	66
946	1173	65
947	1174	64
948	1175	63
949	1176	61
950	1177	60
951	1178	59
952	1179	58
953	1180	56
954	1181	55
955	1182	54
956	1183	53
957	1184	51
958	1186	50
959	1187	49
960	1187	48
961	1188	46
962	1189	45
963	1190	44
964	1192	43
965	1193	42
966	1194	40
967	1195	39
968	1196	38
969	1197	37
970	1198	35
971	1199	34
972	1200	33
973	1201	32
974	1202	30
975	1203	29
976	1204	28
977	1205	27
978	1206	25
979	1207	24
980	1208	23
981	1209	22
982	1210	20
983	1211	19
984	1212	18
985	1213	17
986	1214	15
987	1215	14
988	1216	13
989	1217	12
990	1218	11
991	1219	9
992	1220	8
993	1222	7
994	1223	6
995	1224	4
996	1224	3
997	1225	2
998	1226	1
999	1227	0
